"Error: This error will block the book from publishing. The error needs to be fixed in order to publish."
"Notice: This issue will not block the book from publishing and can be safely ignored as there will be no impact."
"Type","Description","Source File","Line Number","Text Preceding Warning or Error","Recommended Fix"
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#reading","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#fig:nurses-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#computing","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#moving","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#studentjobs","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#fig:future-now-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#bignames","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#tab:examtable","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#debugging","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#surviving","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#license","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#broadening","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#fig:signposting-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#fig:agile-vs-waterfall-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#fig:startrek-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch003.xhtml#fig:goal-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch003.xhtml#fig:stephen-fry-lecture-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch003.xhtml#fig:genderbread-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch003.xhtml#fig:storytelling-fig","","","",""
